title;description;labels;assignee;state
Verwijderen route;Het is nog niet mogelijk om een route te verwijderen.;;;
Popup met info hoe de app te gebruiken;popup met info hoe de app te gebruiken. Zoals Google dat doet (ok, got it);;;
Scrollgedrag;Als je naar beneden wilt scrollen terwijl de pointer op de kaart (map) staat, wordt de kaart uitgezoomd. In- en uitzoomen alleen mogelijk maken met plus- en minknop of met twee vingers (voor op mobile device).;;;
Upload-knop;De opmaak van de knop ‘Choose file’ kan beter. Ook zou de tekst anders moeten zijn want je kunt alleen gpx-bestanden uploaden.;;;
Ontwerp;Er moet naar het ontwerp gekeken worden.;;;
Alle routes worden getoond.;De geüploade routes zijn niet persoonlijk, alle routes zijn voor iedereen zichtbaar. Dit zou persoonlijk moeten zijn. Hierbij is vermoedelijk de documentatie van wandelappbackend nodig.;;;
Dezelfde routes;Het lijkt erop dat je dezelfde route meerdere keren kunt uploaden.;;;
Offline;"Als er geen internetconnectie is, werkt de app niet. Dit is niet handig als je bijvoorbeeld op de Veluwe loopt.
Graag offline beschikbaar maken.";;;
Meldingen;De melding ‘Route is toegevoegd’ verdwijnt niet.;;;
POI;Bij het klikken op een POI (point of interest) wordt de beschrijving meerdere keren getoond. Bovendien is het niet leesbaar. De beschrijving wordt inmiddels nog maar 1 keer getoond. Het is echter zo dat deze niet altijd zichtbaar is. Je moet dan de kaart naar links verschuiven om het alsnog te lezen. Blijkbaar wordt de beschrijving buiten beeld geplaatst als er geen ruimte is rechtsonder het POI.;;;
Centreren;Maak het mogelijk voor de gebruiker om te kiezen of de kaart automatisch wordt gecentreerd of niet.;;;
Na upload route wordt deze niet automatisch vertoond.;Na het uploaden van een nieuw gpx route wordt deze niet automatisch getoond. Er wordt een andere route getoond.;;;
Unittest voor class Map;Er is nu alleen een unittest voor de routes.js module. Er zou minimaal ook een unittest voor de class Map (map.js) moeten zijn.;;;
Lage score voor 'Progressive WebApp' onder Audits in Developer Tools;"Lage score voor 'Progressive Web App' onder Audits in Developer Tools. Ook is de performance niet goed. Genoemde punten verbeteren au.b.
Het gebruik van een service worker om de app offline te maken wordt ook al genoemd in een ander issue.";;;
jQuery vervangen door fetch api;"jQuery wordt alleen gebruikt voor een AJAX request in routes.js.
Kan dit niet vervangen worden door de nieuwe fetch API? jQuery wordt ook gebruikt in hikingapp.js. jQuery blijft dus nodig. Update van routes.js is in ieder geval wel nodig.";;;
Keuze voor sattelietweergave;Op dit moment zie je op de kaart alleen een stratenplan. Is het mogelijk om de gebruiker te laten kiezen voor een satellietweergave?;;;
Implementatieplan;"Om de risico's te verlagen bij de uiteindelijke oplevering van het eindproduct is er een plan nodig. 
Dit moet nog geschreven worden:
- Wat is er nodig om het systeem live te zetten (server, updates, wachtwoorden, cursus geven, op welk tijdstip etc.)?
- Als de uitrol mislukt zal een fallback nodig zijn om terug te keren naar de oude situatie (eventueel backup terugzetten, bestaande server standby, etc.).";;;
Onderhoudsplan;"Een webapp is nooit af en vergt continu onderhoud. Hoe het wordt onderhouden is beschreven in het onderhoudsplan of SLA (Service Level Agreement) waarin is afgesproken wie waarvoor verantwoordelijk is met afspraken over tijd etc.: 
- Instrueren nieuwe gebruikers? 
- Afhandeling van klachten en vragen?
- Aanpassen inhoud? 
- Verhelpen van bugs binnen hoeveel tijd?
- Registreren van nieuwe wensen?
- Verhelpen van nieuwe wensen?
- Maximale down-tijd?

Eerder is al een SLA opgesteld. Aan jou om hier aan te voldoen:
[SLA_WandelenMetPietjePuk.docx](https://github.com/dvriet/wandelapp_issues/files/1656230/SLA_WandelenMetPietjePuk.docx)";;;
Nog niet PWA-ready;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
"
https://api.github.com/repos/dvriet/wandelapp_issues/issues/5,https://api.github.com/repos/dvriet/wandelapp_issues,https://api.github.com/repos/dvriet/wandelapp_issues/issues/5/labels{/name},https://api.github.com/repos/dvriet/wandelapp_issues/issues/5/comments,https://api.github.com/repos/dvriet/wandelapp_issues/issues/5/events,https://github.com/dvriet/wandelapp_issues/issues/5,219191028,5,Dezelfde routes,dvriet,5569113,https://avatars1.githubusercontent.com/u/5569113?v=4,,https://api.github.com/users/dvriet,https://github.com/dvriet,https://api.github.com/users/dvriet/followers,https://api.github.com/users/dvriet/following{/other_user},https://api.github.com/users/dvriet/gists{/gist_id},https://api.github.com/users/dvriet/starred{/owner}{/repo},https://api.github.com/users/dvriet/subscriptions,https://api.github.com/users/dvriet/orgs,https://api.github.com/users/dvriet/repos,https://api.github.com/users/dvriet/events{/privacy},https://api.github.com/users/dvriet/received_events,User,false,open,false,,,0,2017-04-04T09:31:08Z,2017-04-04T09:31:08Z,,OWNER,Het lijkt erop dat je dezelfde route meerdere keren kunt uploaden.
https://api.github.com/repos/dvriet/wandelapp_issues/issues/4,https://api.github.com/repos/dvriet/wandelapp_issues,https://api.github.com/repos/dvriet/wandelapp_issues/issues/4/labels{/name},https://api.github.com/repos/dvriet/wandelapp_issues/issues/4/comments,https://api.github.com/repos/dvriet/wandelapp_issues/issues/4/events,https://github.com/dvriet/wandelapp_issues/issues/4,219190939,4,Alle routes worden getoond.,dvriet,5569113,https://avatars1.githubusercontent.com/u/5569113?v=4,,https://api.github.com/users/dvriet,https://github.com/dvriet,https://api.github.com/users/dvriet/followers,https://api.github.com/users/dvriet/following{/other_user},https://api.github.com/users/dvriet/gists{/gist_id},https://api.github.com/users/dvriet/starred{/owner}{/repo},https://api.github.com/users/dvriet/subscriptions,https://api.github.com/users/dvriet/orgs,https://api.github.com/users/dvriet/repos,https://api.github.com/users/dvriet/events{/privacy},https://api.github.com/users/dvriet/received_events,User,false,open,false,,,0,2017-04-04T09:30:46Z,2017-08-31T12:37:44Z,,OWNER,De ge√ºploade routes zijn niet persoonlijk, alle routes zijn voor iedereen zichtbaar. Dit zou persoonlijk moeten zijn. Hierbij is vermoedelijk de documentatie van wandelappbackend nodig.";;;;
"
https://api.github.com/repos/dvriet/wandelapp_issues/issues/3,https://api.github.com/repos/dvriet/wandelapp_issues,https://api.github.com/repos/dvriet/wandelapp_issues/issues/3/labels{/name},https://api.github.com/repos/dvriet/wandelapp_issues/issues/3/comments,https://api.github.com/repos/dvriet/wandelapp_issues/issues/3/events,https://github.com/dvriet/wandelapp_issues/issues/3,219190750,3,Ontwerp,dvriet,5569113,https://avatars1.githubusercontent.com/u/5569113?v=4,,https://api.github.com/users/dvriet,https://github.com/dvriet,https://api.github.com/users/dvriet/followers,https://api.github.com/users/dvriet/following{/other_user},https://api.github.com/users/dvriet/gists{/gist_id},https://api.github.com/users/dvriet/starred{/owner}{/repo},https://api.github.com/users/dvriet/subscriptions,https://api.github.com/users/dvriet/orgs,https://api.github.com/users/dvriet/repos,https://api.github.com/users/dvriet/events{/privacy},https://api.github.com/users/dvriet/received_events,User,false,open,false,,,0,2017-04-04T09:30:01Z,2017-04-04T09:30:01Z,,OWNER,Er moet naar het ontwerp gekeken worden.";;;;
"
https://api.github.com/repos/dvriet/wandelapp_issues/issues/2,https://api.github.com/repos/dvriet/wandelapp_issues,https://api.github.com/repos/dvriet/wandelapp_issues/issues/2/labels{/name},https://api.github.com/repos/dvriet/wandelapp_issues/issues/2/comments,https://api.github.com/repos/dvriet/wandelapp_issues/issues/2/events,https://github.com/dvriet/wandelapp_issues/issues/2,219190610,2,Upload-knop,dvriet,5569113,https://avatars1.githubusercontent.com/u/5569113?v=4,,https://api.github.com/users/dvriet,https://github.com/dvriet,https://api.github.com/users/dvriet/followers,https://api.github.com/users/dvriet/following{/other_user},https://api.github.com/users/dvriet/gists{/gist_id},https://api.github.com/users/dvriet/starred{/owner}{/repo},https://api.github.com/users/dvriet/subscriptions,https://api.github.com/users/dvriet/orgs,https://api.github.com/users/dvriet/repos,https://api.github.com/users/dvriet/events{/privacy},https://api.github.com/users/dvriet/received_events,User,false,open,false,,,0,2017-04-04T09:29:29Z,2017-04-04T09:29:29Z,,OWNER,De opmaak van de knop ‚ÄòChoose file‚Äô kan beter. Ook zou de tekst anders moeten zijn want je kunt alleen gpx-bestanden uploaden. ";;;;
"
https://api.github.com/repos/dvriet/wandelapp_issues/issues/1,https://api.github.com/repos/dvriet/wandelapp_issues,https://api.github.com/repos/dvriet/wandelapp_issues/issues/1/labels{/name},https://api.github.com/repos/dvriet/wandelapp_issues/issues/1/comments,https://api.github.com/repos/dvriet/wandelapp_issues/issues/1/events,https://github.com/dvriet/wandelapp_issues/issues/1,219190452,1,Scrollgedrag,dvriet,5569113,https://avatars1.githubusercontent.com/u/5569113?v=4,,https://api.github.com/users/dvriet,https://github.com/dvriet,https://api.github.com/users/dvriet/followers,https://api.github.com/users/dvriet/following{/other_user},https://api.github.com/users/dvriet/gists{/gist_id},https://api.github.com/users/dvriet/starred{/owner}{/repo},https://api.github.com/users/dvriet/subscriptions,https://api.github.com/users/dvriet/orgs,https://api.github.com/users/dvriet/repos,https://api.github.com/users/dvriet/events{/privacy},https://api.github.com/users/dvriet/received_events,User,false,open,false,,,0,2017-04-04T09:28:49Z,2017-04-04T09:28:49Z,,OWNER,Als je naar beneden wilt scrollen terwijl de pointer op de kaart (map) staat, wordt de kaart uitgezoomd. In- en uitzoomen alleen mogelijk maken met plus- en minknop of met twee vingers (voor op mobile device).";;;;
"
";;;;
